Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Result,Rpt Limit,Units,Method,Matrix,Sample Type,Parent Sample,Description,Notes,Date,Year,Depth,Units2
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved ortho-Phosphate,14265442,0.01,0.01,mg/L as P,EPA 365.1 (DWR Modified) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,mg/L as P 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved ortho-Phosphate,14265442,0.01,0.01,mg/L as P,EPA 365.1 (DWR Modified) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,mg/L as P 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved Lead,7439921,0.013,0.001,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved Lead,7439921,0.018,0.001,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Total Lead,7439921,0.027,0.003,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved Cadmium,7440439,0.03,0.029,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Total Cadmium,7440439,0.03,0.025,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Total Silver,7440224,0.03,0.027,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Total Phosphorus,7723140,0.04,0.01,mg/L as P,EPA 365.4 DWR Modified [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,mg/L as P 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Total Lead,7439921,0.045,0.003,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Total Phosphorus,7723140,0.05,0.01,mg/L as P,EPA 365.4 DWR Modified [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,mg/L as P 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Total Silver,7440224,0.051,0.027,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved Zinc,7440666,0.14,0.013,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved Zinc,7440666,0.16,0.013,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved Cadmium,7440439,0.181,0.029,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved Selenium,7782492,0.21,0.208,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved Selenium,7782492,0.21,0.208,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Total Selenium,7782492,0.23,0.227,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Total Selenium,7782492,0.23,0.227,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Total Cadmium,7440439,0.3,0.025,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Total Zinc,7440666,0.36,0.059,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Total Zinc,7440666,0.46,0.059,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved Copper,7440508,0.65,0.003,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved Copper,7440508,0.7,0.003,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Total Copper,7440508,0.72,0.022,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved Chromium,7440473,0.74,0.03,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Total Copper,7440508,0.76,0.022,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved Boron,7440428,0.8,0.1,mg/L,EPA 200.7 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved Boron,7440428,0.8,0.1,mg/L,EPA 200.7 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved Chromium,7440473,0.8,0.03,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Total Chromium,7440473,0.88,0.038,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Total Chromium,7440473,0.88,0.038,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved Arsenic,7440382,1.01,0.018,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved Arsenic,7440382,1.1,0.018,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Total Arsenic,7440382,1.1,0.016,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Total Arsenic,7440382,1.13,0.016,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved Nickel,7440020,1.46,0.024,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved Nickel,7440020,1.6,0.024,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Total Nickel,7440020,1.79,0.009,ug/L,EPA 1638 (T) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
